record_type,seed,S,A,gamma,K,L_z,n,sigma_xi,alpha,beta,candidate_mode,value_error,decomposition_bound,finite_depth_residual,finite_depth_residual_bound,eps_res_star,eps_res_n,eps_A_cand,eps_A_bound,eta_pi,eta_pi_alpha,Lhat_pi_alpha,eps_CPI,penalty_decomp,penalty_exact_A,certificate_holds_decomp,certificate_holds_exact_A
value_curve,0,64,4,0.9,3,0.8,17,0.05,0.0,0.0,none,0.15489978268710924,0.4831364811737908,0.12448048711628124,0.45933759083498626,0.11265912286242064,0.12448048711628124,0.0,0.0,-0.7460388228045816,-0.7460388228045816,-0.7460388228045816,0.0,0.0,0.0,1,1
value_curve,0,64,4,0.9,3,0.8,18,0.05,0.0,0.0,none,0.14413959660922337,0.46965244904414016,0.12067412579309922,0.44529197709630725,0.11265912286242064,0.12067412579309922,0.0,0.0,-0.7460388228045816,-0.7460388228045816,-0.7460388228045816,0.0,0.0,0.0,1,1
value_curve,0,64,4,0.9,3,0.8,19,0.05,0.0,0.0,none,0.13553144774691495,0.4588652233404196,0.1176290367345536,0.434055486105364,0.11265912286242064,0.1176290367345536,0.0,0.0,-0.7460388228045816,-0.7460388228045816,-0.7460388228045816,0.0,0.0,0.0,1,1
value_curve,0,64,4,0.9,3,0.8,20,0.05,0.0,0.0,none,0.1286449286570681,0.4502354427774432,0.11519296548771729,0.4250662933126101,0.11265912286242064,0.11519296548771729,0.0,0.0,-0.7460388228045816,-0.7460388228045816,-0.7460388228045816,0.0,0.0,0.0,1,1
value_curve,0,64,4,0.9,3,0.95,1,0.05,0.0,0.0,none,2.7344069793318746,3.2600700781990066,1.1200579538536553,4.133055180271792,0.11265912286242064,1.1200579538536553,0.0,0.0,-0.7460388228045816,-0.7460388228045816,-0.7460388228045816,0.0,0.0,0.0,1,1
value_curve,0,64,4,0.9,3,0.95,2,0.05,0.0,0.0,none,2.592189291448201,3.117852390315333,1.0589884481502878,3.9077064507390706,0.11265912286242064,1.0589884481502878,0.0,0.0,-0.7460388228045816,-0.7460388228045816,-0.7460388228045816,0.0,0.0,0.0,1,1
value_curve,0,64,4,0.9,3,0.95,3,0.05,0.0,0.0,none,2.457082487958711,2.982745586825843,1.000972417732089,3.693625157682986,0.11265912286242064,1.000972417732089,0.0,0.0,-0.7460388228045816,-0.7460388228045816,-0.7460388228045816,0.0,0.0,0.0,1,1
value_curve,0,64,4,0.9,3,0.95,4,0.05,0.0,0.0,none,2.328731024643696,2.8543941235108274,0.9458571888347999,3.4902479292797053,0.11265912286242064,0.9458571888347999,0.0,0.0,-0.7460388228045816,-0.7460388228045816,-0.7460388228045816,0.0,0.0,0.0,1,1
value_curve,0,64,4,0.9,3,0.95,5,0.05,0.0,0.0,none,2.2067971344944306,2.7324602333615626,0.8934977213823752,3.2970395622965882,0.11265912286242064,0.8934977213823752,0.0,0.0,-0.7460388228045816,-0.7460388228045816,-0.7460388228045816,0.0,0.0,0.0,1,1
value_curve,0,64,4,0.9,3,0.95,6,0.05,0.0,0.0,none,2.0909599388526297,2.6166230377197617,0.843756227302572,3.1134916136626285,0.11265912286242064,0.843756227302572,0.0,0.0,-0.7460388228045816,-0.7460388228045816,-0.7460388228045816,0.0,0.0,0.0,1,1
value_curve,0,64,4,0.9,3,0.95,7,0.05,0.0,0.0,none,1.980914602992918,2.50657770186005,0.7965018079267586,2.939121062460365,0.11265912286242064,0.7965018079267586,0.0,0.0,-0.7460388228045816,-0.7460388228045816,-0.7460388228045816,0.0,0.0,0.0,1,1
value_curve,0,64,4,0.9,3,0.95,8,0.05,0.0,0.0,none,1.8763715339261926,2.402034632793325,0.7516101095197361,2.7734690388182153,0.11265912286242064,0.7516101095197361,0.0,0.0,-0.7460388228045816,-0.7460388228045816,-0.7460388228045816,0.0,0.0,0.0,1,1
value_curve,0,64,4,0.9,3,0.95,9,0.05,0.0,0.0,none,1.777055618312803,2.302718717179935,0.7089629960330648,2.6160996163581736,0.11265912286242064,0.7089629960330648,0.0,0.0,-0.7460388228045816,-0.7460388228045816,-0.7460388228045816,0.0,0.0,0.0,1,1
value_curve,0,64,4,0.9,3,0.95,10,0.05,0.0,0.0,none,1.6827054984800833,2.2083685973472154,0.6684482382207271,2.466598665021134,0.11265912286242064,0.6684482382207271,0.0,0.0,-0.7460388228045816,-0.7460388228045816,-0.7460388228045816,0.0,0.0,0.0,1,1
value_curve,0,64,4,0.9,3,0.95,11,0.05,0.0,0.0,none,1.5930728846389992,2.1187359835061312,0.6299592182990061,2.324572761250946,0.11265912286242064,0.6299592182990061,0.0,0.0,-0.7460388228045816,-0.7460388228045816,-0.7460388228045816,0.0,0.0,0.0,1,1
value_curve,0,64,4,0.9,3,0.95,12,0.05,0.0,0.0,none,1.5079219014899694,2.0335850003571014,0.593394649373371,2.1896481526692666,0.11265912286242064,0.593394649373371,0.0,0.0,-0.7460388228045816,-0.7460388228045816,-0.7460388228045816,0.0,0.0,0.0,1,1
value_curve,0,64,4,0.9,3,0.95,13,0.05,0.0,0.0,none,1.427028467498391,1.9526915663655235,0.5586583088940178,2.0614697745166715,0.11265912286242064,0.5586583088940178,0.0,0.0,-0.7460388228045816,-0.7460388228045816,-0.7460388228045816,0.0,0.0,0.0,1,1
value_curve,0,64,4,0.9,3,0.95,14,0.05,0.0,0.0,none,1.3501797052063915,1.8758428040735238,0.5256587854386325,1.9397003152717074,0.11265912286242064,0.5256587854386325,0.0,0.0,-0.7460388228045816,-0.7460388228045816,-0.7460388228045816,0.0,0.0,0.0,1,1
value_curve,0,64,4,0.9,3,0.95,15,0.05,0.0,0.0,none,1.2771733810289925,1.8028364798961247,0.4970140872323996,1.834000321890774,0.11265912286242064,0.4970140872323996,0.0,0.0,-0.7460388228045816,-0.7460388228045816,-0.7460388228045816,0.0,0.0,0.0,1,1
value_curve,0,64,4,0.9,3,0.95,16,0.05,0.0,0.0,none,1.2078173730604629,1.733480471927595,0.47743581689579817,1.761755781903315,0.11265912286242064,0.47743581689579817,0.0,0.0,-0.7460388228045816,-0.7460388228045816,-0.7460388228045816,0.0,0.0,0.0,1,1
value_curve,0,64,4,0.9,3,0.95,17,0.05,0.0,0.0,none,1.1419291654903603,1.6675922643574923,0.45883646007602685,1.6931234689152288,0.11265912286242064,0.45883646007602685,0.0,0.0,-0.7460388228045816,-0.7460388228045816,-0.7460388228045816,0.0,0.0,0.0,1,1
value_curve,0,64,4,0.9,3,0.95,18,0.05,0.0,0.0,none,1.0793353682987623,1.6049984671658946,0.44116707109724373,1.6279227715765456,0.11265912286242064,0.44116707109724373,0.0,0.0,-0.7460388228045816,-0.7460388228045816,-0.7460388228045816,0.0,0.0,0.0,1,1
value_curve,0,64,4,0.9,3,0.95,19,0.05,0.0,0.0,none,1.0198712609667442,1.5455343598338764,0.4243811515674003,1.5659821091047987,0.11265912286242064,0.4243811515674003,0.0,0.0,-0.7460388228045816,-0.7460388228045816,-0.7460388228045816,0.0,0.0,0.0,1,1
value_curve,0,64,4,0.9,3,0.95,20,0.05,0.0,0.0,none,0.9633803590013275,1.4890434578684597,0.4084345280140489,1.5071384797566385,0.11265912286242064,0.4084345280140489,0.0,0.0,-0.7460388228045816,-0.7460388228045816,-0.7460388228045816,0.0,0.0,0.0,1,1
cpi_curve,0,64,4,0.9,3,0.2,16,0.1,0.0,1.0,evaluator,0.24279972071308886,0.8314326410714187,0.22531824572452752,0.8314326410499173,0.2253182457248416,0.22531824572452752,0.0731560497602867,1.4965787539285536,-0.7460388228045816,-0.7460388228045816,-0.7460388228045816,0.45453853981633024,0.0,0.0,1,1
cpi_curve,0,64,4,0.9,3,0.2,16,0.1,0.05,1.0,evaluator,0.24279972071308886,0.8314326410714187,0.22531824572452752,0.8314326410499173,0.2253182457248416,0.22531824572452752,0.0731560497602867,1.4965787539285536,-0.7460388228045816,-0.7317902955448802,-0.7306739518277373,0.45453853981633024,0.9528317198816258,0.2411203677974921,1,1
